name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.538
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,5.0,,2.0,1563.0,0.15,0.78
HAP,HAP,,camphene,,,Ceramic,graphite,Hypermer KD 4,0.03,,,,0.0,0.0,3.0,1573.0,0.2,0.6
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.55
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.515
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.545
HAP,HAP,,water,,,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1623.0,0.2,0.55
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.77
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.51
HAP,HAP,,water,,,Ceramic,polyethylene,SND 6800,0.02,,,,0.0,,2.0,1673.0,0.25,0.765
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.49
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,,,2.0,1563.0,0.15,0.78
HAP,HAP,,TBA,,,Ceramic,polyethylene,citric acid,0.01,,,,0.0,,1.0,873.0,0.1196,0.646
HAP,HAP,,water,,,Ceramic,polyethylene,sodium polyacrylate,0.01,PVA,0.005,243.0,0.0,0.0,3.0,1623.0,0.3,0.475
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,14.0,,2.0,1563.0,0.15,0.78
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.48
HAP,HAP,,camphene,,,Ceramic,graphite,Hypermer KD 4,0.03,,,,0.0,0.0,3.0,1573.0,0.25,0.52
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,48.0,2.0,1773.0,0.15,0.5331
