name_part1,name_part2,name_fluid1,material_group,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
SiO2,,water,Ceramic,193.0,0.0,12.0,2.0,1523.0,0.1,0.89
NiO,YSZ,water,Metal/Ceramic,213.0,0.0,12.0,1.0,573.0,0.15,0.6088
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.06,0.52
HAP,Al2O3,water,Ceramic,,1.0,,24.0,873.0,0.15,0.8496
WO3,,water,Metal,253.0,0.0,,,1023.0,0.275,0.444
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.65
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.4,0.28
HAP,,water,Ceramic,253.0,0.0,,3.0,1673.0,0.1,0.67
YSZ,,water,Metal/Ceramic,,1.0,48.0,12.0,413.0,0.365,0.212
PLLA,,DMSO,Polymer,77.0,,,,,0.04,0.947
kaolinite,Al2O3,water,Ceramic,233.0,0.0,24.0,2.0,1773.0,0.06,0.894
HAP,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.2406,0.605
YSZ,,TBA,Ceramic,243.0,0.0,0.0,0.5,723.0,0.15,0.77
collagen,alginate,water,Ceramic/Polymer,,,,,,0.02,0.922
HAP,,water,Ceramic,,8.0,,2.0,1273.0,0.15,0.81
Bioglass,,water,Ceramic,253.0,0.0,,,773.0,0.125,0.7
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,1053.0,0.1664,0.66
HAP,SiO2,water,Ceramic,,4.0,,24.0,873.0,0.15,0.8071
Al2O3,TiO2,camphene,Ceramic,77.0,0.0,72.0,2.0,1773.0,0.25,0.37
fireclay,,water,Ceramic,,0.0,24.0,1.0,873.0,0.1751,0.7398
YSZ,,TBA,Ceramic,,0.0,,0.5,773.0,0.5,0.02
PVA,,water,Polymer,77.0,0.0,,,,0.0657,0.81
TCP,,water,Ceramic,,0.0,48.0,,673.0,0.3,0.489
Al2O3,,water,Ceramic,218.0,0.0,36.0,2.0,873.0,0.235,0.664
Al2O3,,naphthalene,Ceramic,291.0,0.0,60.0,4.0,1873.0,0.2,0.6
Ti,,camphene,Metal,,0.0,,2.0,1773.0,0.15,0.71
HAP,,water,Ceramic,,0.0,24.0,3.0,1523.0,0.4,0.42
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.03,0.74
chitin,,water,Polymer,77.0,0.0,24.0,,,0.0053,0.982
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,873.0,0.55,0.05
LSM,YSZ,water,Ceramic,,0.0,0.0,,,0.17,0.61
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.86
Mullite,,camphene,Ceramic,77.0,0.0,,,873.0,0.153,0.51
Si3N4,Y2O3,water,Ceramic,193.0,0.0,24.0,,2123.0,0.25,0.584
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.6
Si3N4,Al2O3,TBA,Ceramic,,0.0,24.0,3.0,473.0,0.3036,0.42
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.075,0.85
Yb2SiO5,,TBA,Ceramic,,0.0,0.0,2.0,873.0,0.15,0.8395
HAP,SiO2,water,Ceramic,,4.0,,24.0,873.0,0.15,0.8095
PVA,,water,Polymer,77.0,0.0,,,,0.0657,0.83
YSZ,,TBA,Ceramic,,0.0,,2.0,1773.0,0.15,0.631
Al2O3,,water,Ceramic,253.0,0.0,48.0,4.0,1773.0,0.2,0.643
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.6
YSZ,,TBA,Ceramic,,,,1.0,1823.0,0.15,0.54
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1773.0,0.15,0.481
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,873.0,0.55,0.095
Mullite,,TBA,Ceramic,,0.0,0.0,,1373.0,0.1079,0.78
SiC,,water,Metal/Ceramic,263.0,0.0,24.0,0.5,773.0,0.2,0.018
BaTiO3,,water,Ceramic,,0.0,,2.0,1773.0,0.2,0.6
PCS,,water,Polymer,77.0,0.0,24.0,,,0.51,0.814
YSZ,,water,Ceramic,,0.0,,0.5,773.0,0.1,0.86
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.51
Al2O3,,water,Ceramic,83.0,0.0,24.0,3.0,1173.0,0.2,0.4
CuO,,water,Metal,253.0,0.0,,2.0,1573.0,0.2,0.497
Bioglass,,camphene,Ceramic,,0.0,24.0,1.0,1673.0,0.1,0.19
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.67
TiH2,,camphene,Metal,,0.0,,2.0,873.0,0.4,0.35
SiC,,camphene,Ceramic,276.0,0.0,,2.0,873.0,0.1,0.86
chitosan,TCP,water,Ceramic/Polymer,253.0,0.0,6.0,,,0.1468,0.76
Y2SiO5,,water,Ceramic,,0.0,48.0,2.0,1773.0,0.4,0.71
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1573.0,0.15,0.499
TiH2,,camphene,Metal,315.0,0.0,,2.0,873.0,0.1,0.64
Al2O3,,water,Ceramic,,0.0,24.0,,1673.0,0.28,0.613
Al2O3,,TBA,Ceramic,,0.0,72.0,4.0,1773.0,0.25,0.2
HAP,,water,Ceramic,,0.5,,4.0,1723.0,0.25,0.56
Si3N4,,benzoic acid,Ceramic,,0.0,5.0,4.0,2023.0,0.16,0.64
Zeo,,water,Ceramic,123.0,0.0,48.0,1.0,2373.0,0.1892,0.713
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.075,0.85
Y2SiO5,,water,Ceramic,,0.0,48.0,2.0,1623.0,0.2,0.71
CuO,,water,Metal,253.0,0.0,,2.0,1573.0,0.4,0.308
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1673.0,0.15,0.51
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.74
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.2,0.76
HAP,,water,Ceramic,255.0,0.0,,3.0,873.0,0.23,0.4223
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.15,0.6
PZT,,TBA,Ceramic,195.0,0.0,0.0,2.0,1723.0,0.35,0.4
PVA,,water,Polymer,77.0,0.0,,,,0.0854,0.81
SiO2,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
HAP,,camphene,Ceramic,,0.0,,,1523.0,0.1,0.75
Mullite,,camphene,Ceramic,77.0,0.0,,,873.0,0.153,0.703
theophylline,starch,water,Pharmaceutical,235.5,0.0,24.0,,,0.34,0.48
Y2SiO5,,water,Ceramic,,0.0,48.0,2.0,1773.0,0.4,0.76
gelatin,,acetic acid,Polymer,77.0,0.0,48.0,,,0.0234,0.965
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.4095
YSZ,,TBA,Ceramic,,0.0,,,,0.5,0.5
HAP,SiO2,water,Ceramic,,4.0,,24.0,873.0,0.15,0.8496
PCS,,water,Polymer,77.0,0.0,24.0,,,0.51,0.899
SiO2,,water,Ceramic,238.0,2.0,0.0,2.0,673.0,0.1628,0.79
SiO2,kaolinite,water,Ceramic,233.0,0.0,12.0,,,0.43,0.43
Bioglass,,camphene,Ceramic,,0.0,24.0,1.0,1673.0,0.1,0.52
HAP,,water,Ceramic,,5.0,48.0,4.0,1573.0,0.2,0.721
TCP,,water,Ceramic,,0.0,60.0,,723.0,0.2,0.68
Si3N4,BAS,water,Ceramic,,0.0,,3.0,823.0,0.4,0.407
HAP,,water,Ceramic,,0.0,,2.0,1623.0,0.25,0.85
Mullite,,camphene,Ceramic,77.0,0.0,,,873.0,0.15,0.798
chitosan,TCP,water,Ceramic/Polymer,253.0,0.0,6.0,,,0.1468,0.76
Al2O3,chitosan,acetic acid,Ceramic,,10.0,,,,0.27,0.91
YSZ,,TBA,Ceramic,,,,1.0,1673.0,0.15,0.63
CaP,,water,Ceramic,208.0,0.0,0.0,2.0,873.0,0.15,0.83
